scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-40.0_lon-72.0_20260305_T18GYA_t297,21.833256,0.515717,17.696809,12.252575,0.080972,0.264209,0.522470
lat-47.0_lon-69.0_20260106_T19GDJ_t089,40.213335,0.943780,0.529796,0.280464,0.009757,0.666455,0.880014
lat-47.0_lon-69.0_20260106_T19GDJ_t132,38.090418,0.919818,0.748591,0.348547,0.012459,0.701736,0.913597
lat-47.0_lon-69.0_20260106_T19GDJ_t214,28.743482,0.763523,2.332039,1.593845,0.036545,0.661392,0.851988
lat-47.0_lon-69.0_20260106_T19GDJ_t231,28.527228,0.784789,2.956787,1.668025,0.037466,0.652472,0.853106
lat-5.5_lon-37.5_20240629_T24MXV_t137,32.378996,0.903403,2.557659,1.265556,0.024046,0.849945,0.935639
lat-5.5_lon-37.5_20240629_T24MXV_t150,33.565433,0.914577,2.307520,1.561268,0.020976,0.801788,0.955675
lat-5.5_lon-37.5_20240629_T24MXV_t181,38.344944,0.955312,1.695804,1.315388,0.012099,0.858688,0.956090
lat-5.5_lon-37.5_20240629_T24MXV_t211,36.815378,0.959085,1.370104,1.770111,0.014429,0.827944,0.963154
lat-5.5_lon-37.5_20240629_T24MXV_t212,37.699586,0.958818,1.599544,1.553697,0.013032,0.849340,0.965558
lat-5.5_lon-37.5_20240629_T24MXV_t218,37.287518,0.949937,1.182559,1.440726,0.013665,0.829747,0.953992
lat-5.5_lon-37.5_20240629_T24MXV_t226,33.652046,0.922846,2.039941,2.217426,0.020768,0.756133,0.946807
lat-5.5_lon-37.5_20240629_T24MXV_t295,35.920064,0.936919,1.573050,1.789485,0.015995,0.835249,0.946714
lat-50.0_lon-71.0_20240120_T19FCE_t105,33.746156,0.885605,1.141800,0.967590,0.020544,0.756112,0.891179
lat-50.0_lon-71.0_20240120_T19FCE_t251,34.617294,0.898181,1.041465,0.694555,0.018584,0.762361,0.918780
lat13.0_lon14.0_20231029_T33PUQ_t033,20.225740,0.645650,8.234671,5.553936,0.097435,0.610332,0.782915
lat13.0_lon14.0_20231029_T33PUQ_t052,31.323383,0.907973,2.823831,1.935060,0.027154,0.866011,0.964636
lat13.0_lon14.0_20231029_T33PUQ_t053,31.209672,0.917214,3.454102,2.508345,0.027512,0.890443,0.963617
lat13.0_lon14.0_20231029_T33PUQ_t054,32.492130,0.940895,2.541863,1.647407,0.023735,0.899682,0.963754
lat13.0_lon14.0_20231029_T33PUQ_t058,34.487923,0.930068,2.058217,1.073181,0.018863,0.859762,0.945615
lat13.0_lon14.0_20231029_T33PUQ_t066,31.416935,0.902462,3.085717,3.089725,0.026863,0.852692,0.919264
lat13.0_lon14.0_20231029_T33PUQ_t070,37.135433,0.954047,1.137799,0.808656,0.013907,0.886757,0.956551
lat13.0_lon14.0_20231029_T33PUQ_t086,29.358884,0.792643,2.898341,1.432319,0.034045,0.710441,0.928769
lat13.0_lon14.0_20231029_T33PUQ_t089,28.314862,0.858682,4.214885,2.293243,0.038393,0.769483,0.887513
lat13.0_lon14.0_20231029_T33PUQ_t091,27.266856,0.807586,4.679169,3.344604,0.043317,0.741997,0.878775
lat13.0_lon14.0_20231029_T33PUQ_t114,38.439791,0.966969,2.345723,1.500036,0.011968,0.911708,0.961065
lat13.0_lon14.0_20231029_T33PUQ_t126,34.497791,0.899811,5.367536,3.154501,0.018841,0.798358,0.914778
lat13.5_lon40.7_20250330_T37PFQ_t029,32.170094,0.850875,2.916770,1.535702,0.024632,0.663906,0.873941
lat13.5_lon40.7_20250330_T37PFQ_t033,26.846215,0.637175,3.201827,1.510243,0.045466,0.517244,0.753454
lat13.5_lon40.7_20250330_T37PFQ_t072,32.407419,0.840314,1.167365,0.681323,0.023968,0.725167,0.919993
lat13.5_lon40.7_20250330_T37PFQ_t102,27.644954,0.617339,3.215421,1.832508,0.041472,0.432948,0.736266
lat13.5_lon40.7_20250330_T37PFQ_t103,30.079008,0.775563,2.858850,1.268408,0.031336,0.636527,0.828587
lat13.5_lon40.7_20250330_T37PFQ_t132,31.903799,0.913381,2.454509,1.033244,0.025399,0.873980,0.975037
lat13.5_lon40.7_20250330_T37PFQ_t134,32.765449,0.882464,1.701160,0.817117,0.023000,0.815003,0.946104
lat13.5_lon40.7_20250330_T37PFQ_t135,29.719790,0.809832,2.960873,1.510958,0.032660,0.710018,0.866652
lat13.5_lon40.7_20250330_T37PFQ_t212,34.998005,0.906715,1.380553,0.626793,0.017787,0.826236,0.958720
lat14.5_lon33.5_20251024_T36PWB_t069,35.873258,0.947335,1.705480,0.872641,0.016082,0.909783,0.947426
lat14.5_lon33.5_20251024_T36PWB_t085,33.301542,0.901299,2.596483,1.265980,0.021623,0.827879,0.895576
lat14.5_lon33.5_20251024_T36PWB_t097,35.530575,0.946329,2.078882,1.066264,0.016729,0.904867,0.961458
lat17.0_lon95.5_20251224_T46QGD_t163,30.123585,0.866467,4.493841,1.819149,0.031176,0.795801,0.942304
lat17.0_lon95.5_20251224_T46QGD_t200,26.607166,0.803054,8.404987,3.468736,0.046735,0.734945,0.906816
lat17.0_lon95.5_20251224_T46QGD_t278,25.660306,0.804329,9.811647,5.056619,0.052118,0.693517,0.795540
lat18.0_lon33.0_20231202_T36QWF_t104,38.869422,0.957365,0.606929,0.328082,0.011390,0.890222,0.973155
lat18.0_lon33.0_20231202_T36QWF_t106,36.950827,0.937222,0.722244,0.408094,0.014206,0.846751,0.969192
lat19.4_lon-99.1_20260221_T14QMG_t039,35.815299,0.911737,1.941923,1.221915,0.016190,0.827158,0.916433
lat19.4_lon-99.1_20260221_T14QMG_t045,40.547527,0.955892,1.791416,1.612170,0.009389,0.867685,0.922113
lat19.4_lon-99.1_20260221_T14QMG_t071,33.161681,0.853435,3.507924,1.881228,0.021974,0.721336,0.881517
lat21.0_lon17.5_20231203_T33QYD_t072,33.700449,0.916168,1.241994,0.878383,0.020653,0.851271,0.974296
lat21.0_lon17.5_20231203_T33QYD_t169,20.286658,0.521599,9.642792,4.853835,0.096754,0.450682,0.708123
lat22.5_lon78.0_20250129_T43QHE_t056,27.832324,0.725696,3.085318,2.470407,0.040587,0.586016,0.811963
lat22.5_lon78.0_20250129_T43QHE_t057,33.026831,0.815488,3.335597,2.778280,0.022318,0.546945,0.759474
lat22.5_lon78.0_20250129_T43QHE_t082,21.443042,0.500907,7.013545,5.015510,0.084693,0.394950,0.590333
lat22.5_lon78.0_20250129_T43QHE_t118,28.554550,0.790446,4.682241,4.130108,0.037348,0.731411,0.849977
lat23.0_lon88.0_20231227_T45QXF_t036,29.196735,0.811747,5.504498,3.646219,0.034687,0.733852,0.887013
lat23.0_lon88.0_20231227_T45QXF_t046,27.707628,0.781614,7.100862,4.941987,0.041174,0.720735,0.866494
lat23.0_lon88.0_20231227_T45QXF_t068,30.856951,0.844864,4.675272,3.839776,0.028652,0.774779,0.903027
lat23.0_lon88.0_20231227_T45QXF_t075,31.057551,0.851439,3.533560,1.745194,0.027998,0.769699,0.851302
lat23.0_lon88.0_20231227_T45QXF_t101,32.739387,0.847124,3.727580,1.906637,0.023069,0.742361,0.846120
lat23.0_lon88.0_20231227_T45QXF_t110,23.342064,0.687381,8.931238,5.158213,0.068061,0.626330,0.760641
lat23.5_lon58.5_20231226_T40QFL_t021,30.928224,0.817223,4.891793,2.878607,0.028418,0.714045,0.817655
lat23.5_lon58.5_20231226_T40QFL_t129,25.261628,0.640298,4.884809,3.710379,0.054566,0.536698,0.733354
lat23.5_lon58.5_20231226_T40QFL_t173,27.350375,0.697662,3.498777,2.584372,0.042902,0.600823,0.722858
lat23.5_lon58.5_20231226_T40QFL_t182,26.942131,0.671058,6.355791,3.472322,0.044967,0.573233,0.790495
lat23.5_lon69.5_20231003_T42QWL_t009,34.778199,0.939819,1.448106,0.790951,0.018243,0.912010,0.947439
lat23.5_lon69.5_20231003_T42QWL_t019,32.678610,0.909575,2.341456,1.233712,0.023231,0.878039,0.943196
lat26.0_lon-99.5_20230627_T14RMP_t013,19.782202,0.472081,8.417216,4.926937,0.102539,0.296938,0.519220
lat26.0_lon-99.5_20230627_T14RMP_t028,40.570451,0.965875,1.480651,1.053454,0.009364,0.932592,0.969802
lat26.5_lon71.0_20250131_T42RYQ_t013,31.285112,0.822691,1.870015,0.949769,0.027274,0.680845,0.797173
lat26.5_lon71.0_20250131_T42RYQ_t025,34.941154,0.896628,1.714640,0.978458,0.017904,0.740914,0.833791
lat26.5_lon71.0_20250131_T42RYQ_t050,22.414873,0.656327,7.926676,4.901398,0.075728,0.564311,0.772308
lat26.5_lon71.0_20250131_T42RYQ_t056,28.398436,0.734116,3.131620,1.721437,0.038026,0.619796,0.757620
lat26.5_lon71.0_20250131_T42RYQ_t059,29.245230,0.819641,3.059799,1.595123,0.034494,0.739086,0.857383
