scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-33.5_lon19.5_20250123_T34HCJ_t027,28.143402,0.895990,2.444356,1.318263,0.039159,0.835323,0.933693
lat-33.5_lon19.5_20250123_T34HCJ_t115,30.085287,0.911392,2.396724,1.198784,0.031314,0.857514,0.977031
lat-33.5_lon19.5_20250123_T34HCJ_t148,29.309239,0.859155,2.481543,1.417630,0.034240,0.754421,0.954595
lat-33.5_lon19.5_20250123_T34HCJ_t199,30.556595,0.910889,1.888112,0.999868,0.029660,0.867398,0.948182
lat-33.5_lon19.5_20250123_T34HCJ_t201,31.213175,0.913454,2.310259,1.187967,0.027501,0.845014,0.970289
lat-33.5_lon19.5_20250123_T34HCJ_t210,29.689385,0.868186,3.844146,1.913014,0.032774,0.798597,0.925726
lat-33.5_lon19.5_20250123_T34HCJ_t214,26.306499,0.735193,2.907849,2.037851,0.048381,0.615531,0.833044
lat-37.0_lon149.0_20250104_T55HFU_t127,26.471599,0.823519,6.224224,3.503018,0.047470,0.711112,0.923689
lat-40.0_lon-72.0_20260305_T18GYA_t173,26.341653,0.641637,14.616523,8.660413,0.048186,0.388063,0.697882
lat-40.0_lon-72.0_20260305_T18GYA_t222,27.803722,0.802677,11.550139,6.910572,0.040721,0.516249,0.816473
lat-40.0_lon-72.0_20260305_T18GYA_t239,27.706420,0.741238,10.026656,6.567944,0.041179,0.269188,0.637717
lat-40.0_lon-72.0_20260305_T18GYA_t297,29.968355,0.769441,8.152942,6.085455,0.031738,0.451456,0.719076
lat-47.0_lon-69.0_20260106_T19GDJ_t089,34.045236,0.953310,1.602255,0.607547,0.019849,0.637207,0.877231
lat-47.0_lon-69.0_20260106_T19GDJ_t132,34.665987,0.943120,1.251926,0.538058,0.018480,0.735463,0.929369
lat-47.0_lon-69.0_20260106_T19GDJ_t214,28.382473,0.763030,2.276418,1.675281,0.038096,0.651760,0.853305
lat-47.0_lon-69.0_20260106_T19GDJ_t231,28.455690,0.820998,2.974254,1.687647,0.037776,0.684040,0.882787
lat-5.5_lon-37.5_20240629_T24MXV_t137,27.357572,0.860949,6.023530,2.839763,0.042867,0.773635,0.875391
lat-5.5_lon-37.5_20240629_T24MXV_t150,28.151923,0.888657,6.450524,3.531606,0.039120,0.723546,0.928865
lat-5.5_lon-37.5_20240629_T24MXV_t181,30.454012,0.919942,5.786990,3.057917,0.030012,0.763869,0.900688
lat-5.5_lon-37.5_20240629_T24MXV_t211,27.893811,0.900256,6.367304,3.301764,0.040300,0.680784,0.873250
lat-5.5_lon-37.5_20240629_T24MXV_t212,28.607746,0.897768,6.447410,3.522815,0.037120,0.694698,0.890971
lat-5.5_lon-37.5_20240629_T24MXV_t218,26.826578,0.914430,6.418608,3.684416,0.045569,0.767731,0.893556
lat-5.5_lon-37.5_20240629_T24MXV_t226,28.725409,0.892005,5.881083,3.308902,0.036621,0.694799,0.907812
lat-5.5_lon-37.5_20240629_T24MXV_t295,27.013827,0.901601,6.029572,3.044219,0.044597,0.775678,0.907702
lat-50.0_lon-71.0_20240120_T19FCE_t105,29.888977,0.869410,2.583828,1.373773,0.032030,0.740639,0.847352
lat-50.0_lon-71.0_20240120_T19FCE_t251,30.042852,0.895411,2.506940,1.209364,0.031467,0.758397,0.927185
lat13.0_lon14.0_20231029_T33PUQ_t033,21.805089,0.715194,7.799784,3.838526,0.081235,0.679214,0.870375
lat13.0_lon14.0_20231029_T33PUQ_t052,25.798816,0.810802,6.800642,2.802497,0.051293,0.757969,0.924811
lat13.0_lon14.0_20231029_T33PUQ_t053,24.239952,0.799773,8.647585,3.596177,0.061377,0.764307,0.918471
lat13.0_lon14.0_20231029_T33PUQ_t054,25.334059,0.846172,7.476106,3.119821,0.054112,0.799031,0.917805
lat13.0_lon14.0_20231029_T33PUQ_t058,25.893376,0.820359,6.585874,2.771791,0.050738,0.705773,0.872536
lat13.0_lon14.0_20231029_T33PUQ_t066,25.108096,0.829415,7.694500,3.343243,0.055539,0.769419,0.897491
lat13.0_lon14.0_20231029_T33PUQ_t070,26.105037,0.885593,6.065373,2.962909,0.049516,0.754354,0.860426
lat13.0_lon14.0_20231029_T33PUQ_t086,28.598060,0.886814,3.930068,1.599547,0.037162,0.837074,0.954912
lat13.0_lon14.0_20231029_T33PUQ_t089,26.443540,0.891340,6.089636,2.779139,0.047624,0.809772,0.897392
lat13.0_lon14.0_20231029_T33PUQ_t091,25.550295,0.813562,6.932914,2.947214,0.052782,0.736615,0.877656
lat13.0_lon14.0_20231029_T33PUQ_t114,34.730910,0.930108,5.064285,2.187418,0.018342,0.836134,0.938293
lat13.0_lon14.0_20231029_T33PUQ_t126,31.653600,0.899272,8.360089,3.277622,0.026141,0.810925,0.916595
lat13.5_lon40.7_20250330_T37PFQ_t029,32.492554,0.893543,2.957169,1.440700,0.023734,0.714099,0.930510
lat13.5_lon40.7_20250330_T37PFQ_t033,25.750516,0.755353,2.467855,1.601175,0.051579,0.612888,0.807956
lat13.5_lon40.7_20250330_T37PFQ_t072,24.175275,0.788879,2.463967,1.668933,0.061835,0.672733,0.897307
lat13.5_lon40.7_20250330_T37PFQ_t102,25.978695,0.675128,2.229924,2.117687,0.050242,0.485374,0.783428
lat13.5_lon40.7_20250330_T37PFQ_t103,28.734959,0.819019,2.029354,1.411540,0.036581,0.680300,0.875274
lat13.5_lon40.7_20250330_T37PFQ_t132,28.600556,0.887892,3.463475,1.582589,0.037151,0.831517,0.966173
lat13.5_lon40.7_20250330_T37PFQ_t134,28.084716,0.868384,1.978122,1.309523,0.039424,0.793821,0.947038
lat13.5_lon40.7_20250330_T37PFQ_t135,27.214835,0.791807,2.809009,2.022880,0.043577,0.684281,0.879153
lat13.5_lon40.7_20250330_T37PFQ_t212,29.734943,0.899682,1.720187,1.089742,0.032603,0.807127,0.961948
lat14.5_lon33.5_20251024_T36PWB_t069,26.800941,0.781617,5.865846,2.468060,0.045704,0.697124,0.800184
lat14.5_lon33.5_20251024_T36PWB_t085,26.518420,0.822862,7.060513,2.888226,0.047215,0.726660,0.829611
lat14.5_lon33.5_20251024_T36PWB_t097,27.859644,0.835558,6.025962,2.475654,0.040459,0.763308,0.887653
lat17.0_lon95.5_20251224_T46QGD_t163,25.147017,0.749325,9.192075,3.773038,0.055290,0.665034,0.867485
lat17.0_lon95.5_20251224_T46QGD_t200,26.219185,0.787476,9.432475,4.280234,0.048870,0.717518,0.895572
lat17.0_lon95.5_20251224_T46QGD_t278,24.253598,0.744138,12.052829,5.908391,0.061280,0.608574,0.725735
lat18.0_lon33.0_20231202_T36QWF_t104,29.565433,0.948642,1.364954,0.896317,0.033245,0.846690,0.966488
lat18.0_lon33.0_20231202_T36QWF_t106,29.918157,0.934624,1.074328,0.821678,0.031922,0.829700,0.969253
lat19.4_lon-99.1_20260221_T14QMG_t039,33.497264,0.883520,2.425228,1.566951,0.021142,0.782498,0.882937
lat19.4_lon-99.1_20260221_T14QMG_t045,37.931224,0.926645,3.057946,2.122040,0.012689,0.796299,0.882881
lat19.4_lon-99.1_20260221_T14QMG_t071,32.858409,0.872813,4.079028,2.055820,0.022755,0.734305,0.876189
lat21.0_lon17.5_20231203_T33QYD_t072,32.512120,0.901367,1.541388,1.000855,0.023681,0.819405,0.969094
