scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat30.05_lon31.25_20230626_T36RUU_t094,34.072825,0.940915,2.089921,1.467460,0.019786,0.905715,0.966393
lat30.05_lon31.25_20230626_T36RUU_t101,32.087002,0.914157,2.404866,1.673149,0.024869,0.882554,0.961471
lat30.05_lon31.25_20230626_T36RUU_t113,34.245019,0.934948,1.817345,1.387653,0.019398,0.903160,0.963583
lat30.05_lon31.25_20230626_T36RUU_t151,34.498054,0.949983,2.207548,1.282516,0.018841,0.923922,0.973148
lat30.05_lon31.25_20230626_T36RUU_t207,37.454357,0.951683,0.570524,0.452041,0.013405,0.860775,0.947149
lat30.05_lon31.25_20230626_T36RUU_t209,34.129221,0.933616,1.161904,0.768396,0.019658,0.901759,0.958001
lat30.05_lon31.25_20230626_T36RUU_t239,34.306896,0.929108,1.498543,1.069718,0.019260,0.878765,0.963062
lat30.05_lon31.25_20230626_T36RUU_t242,33.506306,0.912854,1.443157,0.933087,0.021120,0.863054,0.915568
lat30.0_lon-9.5_20230804_T29RMP_t024,44.150774,0.980393,0.329071,0.271537,0.006201,0.886906,0.962784
lat30.0_lon-9.5_20230804_T29RMP_t052,37.019232,0.962559,0.804847,0.565125,0.014094,0.915253,0.959397
lat30.0_lon-9.5_20230804_T29RMP_t083,30.927061,0.843456,0.491066,0.902649,0.028421,0.707434,0.871460
lat30.5_lon74.5_20231203_T43RDP_t019,33.282098,0.948222,2.316966,1.333044,0.021672,0.927631,0.971186
lat30.5_lon74.5_20231203_T43RDP_t026,36.218105,0.940375,1.641391,0.893962,0.015456,0.876491,0.914219
lat30.5_lon74.5_20231203_T43RDP_t043,37.364036,0.954356,1.481619,0.817769,0.013546,0.900713,0.942937
lat30.5_lon74.5_20231203_T43RDP_t078,36.100989,0.938413,1.622870,0.954350,0.015666,0.875721,0.922014
lat30.87_lon31.32_20250623_T36RUV_t139,29.071737,0.843665,3.605478,3.253084,0.035190,0.775930,0.856486
lat31.0_lon47.0_20240403_T38RPV_t141,31.657317,0.862414,1.413869,2.386967,0.026130,0.525242,0.911654
lat31.0_lon47.0_20240403_T38RPV_t161,30.748971,0.906604,1.964420,1.532829,0.029010,0.834771,0.913869
lat31.0_lon47.0_20240403_T38RPV_t166,28.406160,0.866896,1.155341,1.335989,0.037992,0.830324,0.910409
lat31.5_lon-100.0_20241001_T14RMV_t024,26.352451,0.859124,1.738415,2.349956,0.048126,0.820294,0.848656
lat31.5_lon-100.0_20241001_T14RMV_t041,37.051594,0.955187,0.935449,0.870364,0.014042,0.924934,0.957457
lat31.5_lon37.0_20240823_T37RCQ_t025,35.795815,0.962776,0.365766,0.425225,0.016226,0.934038,0.979499
