scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat30.05_lon2.88_20231203_T31RDP_t086,39.605606,0.963303,0.258430,0.320640,0.010465,0.861664,0.931784
lat30.05_lon2.88_20231203_T31RDP_t127,40.397615,0.951719,0.324974,0.259493,0.009553,0.823010,0.941727
lat30.05_lon2.88_20231203_T31RDP_t174,44.092263,0.971499,0.219840,0.155560,0.006243,0.820398,0.964315
lat30.05_lon2.88_20231203_T31RDP_t186,37.189216,0.959451,0.382287,0.373960,0.013821,0.860798,0.942661
lat30.05_lon2.88_20231203_T31RDP_t221,40.872879,0.965412,0.368566,0.265609,0.009044,0.885687,0.961992
lat30.05_lon31.25_20230626_T36RUU_t078,33.206787,0.908629,2.488463,1.680674,0.021861,0.851424,0.945111
lat30.05_lon31.25_20230626_T36RUU_t081,33.218618,0.920811,2.270499,1.714980,0.021831,0.880038,0.947197
lat30.05_lon31.25_20230626_T36RUU_t094,34.102225,0.939310,2.243200,1.428669,0.019719,0.907457,0.965506
lat30.05_lon31.25_20230626_T36RUU_t101,31.458872,0.904375,2.403739,1.763377,0.026734,0.872811,0.958125
lat30.05_lon31.25_20230626_T36RUU_t113,33.999039,0.929443,1.875106,1.404768,0.019955,0.899733,0.963906
lat30.05_lon31.25_20230626_T36RUU_t151,34.413248,0.943464,2.016786,1.285872,0.019026,0.918101,0.971941
lat30.05_lon31.25_20230626_T36RUU_t207,38.201308,0.956138,0.538019,0.400592,0.012301,0.893066,0.960037
lat30.05_lon31.25_20230626_T36RUU_t209,34.623413,0.935357,1.108459,0.721388,0.018571,0.906814,0.959600
lat30.05_lon31.25_20230626_T36RUU_t239,34.450032,0.924833,1.459657,1.032013,0.018945,0.875678,0.966003
lat30.05_lon31.25_20230626_T36RUU_t242,34.771683,0.917471,1.203994,0.808981,0.018256,0.871715,0.932329
lat30.0_lon-9.5_20230804_T29RMP_t024,43.638522,0.980059,0.314243,0.275393,0.006578,0.891658,0.959934
lat30.0_lon-9.5_20230804_T29RMP_t052,37.982654,0.958368,0.876068,0.528748,0.012614,0.903843,0.968889
lat30.0_lon-9.5_20230804_T29RMP_t083,33.894126,0.890680,0.517516,0.647103,0.020197,0.803672,0.936144
lat30.5_lon74.5_20231203_T43RDP_t019,33.527711,0.943741,2.454601,1.311276,0.021068,0.923894,0.968677
lat30.5_lon74.5_20231203_T43RDP_t026,36.529045,0.942853,1.587316,0.847623,0.014912,0.893928,0.929570
lat30.5_lon74.5_20231203_T43RDP_t043,37.849235,0.957502,1.392920,0.742609,0.012810,0.918293,0.955459
lat30.5_lon74.5_20231203_T43RDP_t078,36.398971,0.942845,1.543289,0.901532,0.015137,0.894753,0.934341
lat30.87_lon31.32_20250623_T36RUV_t139,30.439385,0.870375,3.303987,2.722590,0.030063,0.819569,0.900480
lat31.0_lon47.0_20240403_T38RPV_t141,37.164010,0.925529,1.374169,1.415926,0.013861,0.718594,0.979507
lat31.0_lon47.0_20240403_T38RPV_t161,34.349782,0.940091,1.417486,0.984124,0.019165,0.899500,0.975353
lat31.0_lon47.0_20240403_T38RPV_t166,31.563050,0.926121,1.022660,0.936983,0.026415,0.905346,0.962061
lat31.5_lon-100.0_20241001_T14RMV_t024,28.562022,0.884000,1.740903,1.830964,0.037316,0.851997,0.911097
lat31.5_lon-100.0_20241001_T14RMV_t041,37.277441,0.953194,1.055424,0.842104,0.013681,0.921859,0.961107
lat31.5_lon37.0_20240823_T37RCQ_t025,36.132301,0.960556,0.339802,0.406168,0.015609,0.931771,0.981284
lat31.5_lon37.0_20240823_T37RCQ_t062,33.936379,0.932020,0.405525,0.529595,0.020099,0.887311,0.971422
lat31.5_lon37.0_20240823_T37RCQ_t105,39.130020,0.969686,0.441291,0.380219,0.011053,0.941082,0.983799
lat31.5_lon37.0_20240823_T37RCQ_t110,34.308876,0.947244,0.731723,0.558684,0.019256,0.930654,0.963785
lat31.5_lon37.0_20240823_T37RCQ_t123,38.744554,0.972012,0.413951,0.385789,0.011555,0.947920,0.978213
lat31.5_lon37.0_20240823_T37RCQ_t129,30.785383,0.915165,1.258647,0.904294,0.028889,0.899837,0.950586
lat31.5_lon37.0_20240823_T37RCQ_t146,35.773824,0.957865,0.646096,0.474771,0.016267,0.930253,0.971699
lat32.0_lon-113.0_20251129_T12SUA_t088,31.590576,0.888752,0.972892,1.446640,0.026331,0.827010,0.923001
lat32.0_lon-113.0_20251129_T12SUA_t119,31.359716,0.874748,1.172489,1.169877,0.027040,0.803407,0.971249
lat32.0_lon-113.0_20251129_T12SUA_t133,27.991667,0.762873,0.693962,1.512280,0.039849,0.697519,0.854390
lat32.0_lon-113.0_20251129_T12SUA_t140,29.007261,0.787506,0.994121,1.787656,0.035452,0.708810,0.931846
lat32.0_lon-113.0_20251129_T12SUA_t163,34.221557,0.934406,0.554393,0.632842,0.019450,0.906514,0.973541
lat32.0_lon35.8_20240803_T37SBR_t031,38.200730,0.969158,0.517524,0.578803,0.012302,0.945010,0.979948
lat32.0_lon35.8_20240803_T37SBR_t043,40.820947,0.966590,0.712649,0.574272,0.009098,0.914066,0.964025
lat32.0_lon35.8_20240803_T37SBR_t045,38.333805,0.963821,0.608266,0.427264,0.012115,0.921710,0.973173
lat32.0_lon35.8_20240803_T37SBR_t057,34.086110,0.911448,0.688242,0.799752,0.019756,0.875813,0.924703
lat32.0_lon35.8_20240803_T37SBR_t095,35.207507,0.925663,0.772404,0.689038,0.017363,0.880540,0.953996
lat32.0_lon35.8_20240803_T37SBR_t130,34.557295,0.896925,0.733239,0.840861,0.018713,0.825943,0.954133
lat32.0_lon35.8_20240803_T37SBR_t131,36.803207,0.928651,0.609740,0.609566,0.014449,0.848868,0.962466
lat32.0_lon35.8_20240803_T37SBR_t133,37.915856,0.951120,0.755161,0.686004,0.012712,0.905059,0.968578
lat32.0_lon58.5_20231204_T40SFA_t062,31.512259,0.903152,0.736598,1.141210,0.026570,0.852404,0.905188
lat32.0_lon58.5_20231204_T40SFA_t155,38.301016,0.968822,0.493628,0.537575,0.012160,0.922563,0.980272
lat32.0_lon58.5_20231204_T40SFA_t191,38.957366,0.981638,0.245691,0.447046,0.011275,0.817837,0.968714
