scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat30.05_lon31.25_20230626_T36RUU_t239,32.896733,0.898853,1.881794,1.345436,0.022655,0.842614,0.947306
lat30.05_lon31.25_20230626_T36RUU_t242,32.078233,0.869501,1.599850,1.137508,0.024894,0.815415,0.907396
lat30.0_lon-9.5_20230804_T29RMP_t024,43.310657,0.977322,0.384550,0.291789,0.006831,0.877003,0.958890
lat30.0_lon-9.5_20230804_T29RMP_t052,39.274680,0.964041,0.720558,0.465318,0.010871,0.917603,0.974342
lat30.0_lon-9.5_20230804_T29RMP_t083,28.862974,0.813018,0.887726,1.146046,0.036046,0.695418,0.849561
lat30.5_lon74.5_20231203_T43RDP_t019,33.635417,0.942893,2.301600,1.299704,0.020808,0.924427,0.970407
lat30.5_lon74.5_20231203_T43RDP_t026,35.704666,0.927047,1.840907,1.024174,0.016397,0.854734,0.898822
lat30.5_lon74.5_20231203_T43RDP_t043,36.878584,0.943801,1.624791,0.916354,0.014324,0.888922,0.939825
lat30.5_lon74.5_20231203_T43RDP_t078,35.781980,0.933711,1.669175,1.014972,0.016252,0.876553,0.923711
lat30.87_lon31.32_20250623_T36RUV_t139,28.345737,0.814483,4.624729,3.627461,0.038257,0.757906,0.859623
lat31.0_lon47.0_20240403_T38RPV_t141,25.049872,0.637342,3.435608,4.568993,0.055912,0.308354,0.783772
lat31.0_lon47.0_20240403_T38RPV_t161,25.726023,0.792307,5.140656,3.032551,0.051725,0.740898,0.880858
lat31.0_lon47.0_20240403_T38RPV_t166,25.628443,0.824060,2.958155,1.814142,0.052309,0.792022,0.903389
lat31.5_lon-100.0_20241001_T14RMV_t024,25.656413,0.849902,2.863388,2.567881,0.052141,0.813011,0.853586
lat31.5_lon-100.0_20241001_T14RMV_t041,36.845125,0.953675,1.010476,0.923042,0.014379,0.924483,0.958585
lat31.5_lon37.0_20240823_T37RCQ_t025,36.001979,0.956970,0.417681,0.426141,0.015845,0.925143,0.976942
lat31.5_lon37.0_20240823_T37RCQ_t062,32.826641,0.924878,0.490870,0.613050,0.022839,0.876880,0.963009
lat31.5_lon37.0_20240823_T37RCQ_t105,38.730663,0.966084,0.547701,0.420651,0.011574,0.937049,0.980930
lat31.5_lon37.0_20240823_T37RCQ_t110,34.506073,0.945871,0.723524,0.559449,0.018823,0.930969,0.965940
lat31.5_lon37.0_20240823_T37RCQ_t123,38.473076,0.966995,0.506978,0.411030,0.011922,0.942272,0.976078
lat31.5_lon37.0_20240823_T37RCQ_t129,30.485885,0.909447,1.231800,0.946142,0.029902,0.895868,0.948350
lat31.5_lon37.0_20240823_T37RCQ_t146,36.199651,0.957034,0.634150,0.456980,0.015489,0.932210,0.971897
lat32.0_lon-113.0_20251129_T12SUA_t088,27.121908,0.829015,2.164029,2.396527,0.044046,0.754848,0.831754
lat32.0_lon-113.0_20251129_T12SUA_t119,25.114275,0.769500,2.574405,2.360600,0.055499,0.649246,0.889399
lat32.0_lon-113.0_20251129_T12SUA_t133,25.263961,0.703068,1.200146,2.059042,0.054551,0.642568,0.777617
lat32.0_lon-113.0_20251129_T12SUA_t140,24.726289,0.696791,1.391831,2.890286,0.058034,0.599733,0.842095
lat32.0_lon-113.0_20251129_T12SUA_t163,34.062922,0.931801,0.615082,0.655449,0.019809,0.905044,0.973086
lat32.0_lon35.8_20240803_T37SBR_t031,38.577914,0.968883,0.548217,0.576283,0.011779,0.946090,0.980770
lat32.0_lon35.8_20240803_T37SBR_t043,40.179306,0.963843,0.655264,0.627733,0.009796,0.910400,0.961863
lat32.0_lon35.8_20240803_T37SBR_t045,38.821974,0.962995,0.555869,0.401331,0.011453,0.920761,0.973930
lat32.0_lon35.8_20240803_T37SBR_t057,32.367683,0.894552,0.735559,0.952704,0.024078,0.860799,0.906008
lat32.0_lon35.8_20240803_T37SBR_t095,34.393435,0.914894,0.777315,0.746353,0.019069,0.868420,0.947321
lat32.0_lon35.8_20240803_T37SBR_t130,32.568189,0.873129,0.799929,1.064262,0.023528,0.794154,0.934275
lat32.0_lon35.8_20240803_T37SBR_t131,36.365810,0.920611,0.604850,0.654033,0.015195,0.836793,0.958305
lat32.0_lon35.8_20240803_T37SBR_t133,37.444851,0.946305,0.755548,0.741226,0.013420,0.899973,0.967327
lat32.0_lon58.5_20231204_T40SFA_t062,29.451797,0.881355,0.876161,1.469427,0.033683,0.824576,0.857015
lat32.0_lon58.5_20231204_T40SFA_t155,38.876671,0.971140,0.532599,0.502977,0.011381,0.923900,0.981172
lat32.0_lon58.5_20231204_T40SFA_t191,39.461987,0.982844,0.318434,0.419670,0.010639,0.823954,0.971442
lat32.5_lon-106.5_20231204_T13SCR_t109,36.040643,0.936963,0.462065,0.552719,0.015775,0.889028,0.969947
lat32.5_lon44.5_20250801_T38SMB_t102,34.496670,0.920162,1.597391,1.229748,0.018844,0.868599,0.939907
lat32.5_lon44.5_20250801_T38SMB_t155,40.212162,0.968860,0.515143,0.308019,0.009759,0.929105,0.963797
lat33.0_lon-115.5_20260130_T11SPS_t080,26.451214,0.739541,1.622310,2.569997,0.047582,0.639802,0.738623
lat33.0_lon-115.5_20260130_T11SPS_t081,31.164570,0.846760,1.536475,2.355388,0.027655,0.719099,0.790945
lat33.0_lon-115.5_20260130_T11SPS_t127,35.356980,0.901831,0.392978,0.514734,0.017067,0.830659,0.924909
lat33.0_lon-115.5_20260130_T11SPS_t147,27.028856,0.694910,0.502435,1.564307,0.044520,0.463777,0.804659
