scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-40.0_lon-72.0_20260305_T18GYA_t239,21.934735,0.658663,4.243167,8.109412,0.080032,0.230770,0.460771
lat-40.0_lon-72.0_20260305_T18GYA_t297,17.769028,0.413459,19.359044,17.463490,0.129285,0.190780,0.357433
lat-47.0_lon-69.0_20260106_T19GDJ_t089,41.581369,0.966897,0.316698,0.232838,0.008335,0.721009,0.898900
lat-47.0_lon-69.0_20260106_T19GDJ_t132,40.612564,0.965524,0.361756,0.242619,0.009319,0.811391,0.946731
lat-47.0_lon-69.0_20260106_T19GDJ_t214,28.548790,0.797298,0.905602,1.627597,0.037373,0.698136,0.848035
lat-47.0_lon-69.0_20260106_T19GDJ_t231,28.169218,0.824117,1.348255,1.667695,0.039043,0.706336,0.850429
lat-5.5_lon-37.5_20240629_T24MXV_t137,36.923675,0.961514,1.476179,0.901573,0.014250,0.931624,0.973390
lat-5.5_lon-37.5_20240629_T24MXV_t150,38.383851,0.968970,1.110139,1.211096,0.012045,0.908514,0.981495
lat-5.5_lon-37.5_20240629_T24MXV_t181,39.396919,0.970153,1.200371,1.156599,0.010719,0.902606,0.969209
lat-5.5_lon-37.5_20240629_T24MXV_t211,37.419036,0.967917,1.085206,1.339927,0.013460,0.873652,0.971649
lat-5.5_lon-37.5_20240629_T24MXV_t212,38.487276,0.970089,1.137874,1.382790,0.011902,0.894447,0.973843
lat-5.5_lon-37.5_20240629_T24MXV_t218,37.305382,0.953480,1.017517,1.234671,0.013637,0.858926,0.957434
lat-5.5_lon-37.5_20240629_T24MXV_t226,33.959074,0.931452,1.689535,2.058164,0.020047,0.788800,0.951525
lat-5.5_lon-37.5_20240629_T24MXV_t295,37.048259,0.958099,1.041554,1.061919,0.014047,0.892480,0.970261
lat-50.0_lon-71.0_20240120_T19FCE_t105,32.250273,0.900534,0.657602,0.964005,0.024405,0.781222,0.874146
lat-50.0_lon-71.0_20240120_T19FCE_t251,34.730782,0.920906,0.560927,0.648089,0.018343,0.810742,0.923495
lat13.0_lon14.0_20231029_T33PUQ_t033,22.060302,0.779161,3.052445,3.470524,0.078883,0.742620,0.861452
lat13.0_lon14.0_20231029_T33PUQ_t052,32.873706,0.944838,1.739319,1.182127,0.022715,0.917801,0.978457
lat13.0_lon14.0_20231029_T33PUQ_t053,33.177404,0.959584,1.982977,1.190490,0.021935,0.941734,0.985349
lat13.0_lon14.0_20231029_T33PUQ_t054,32.908402,0.955587,1.628929,1.197467,0.022625,0.932225,0.975275
lat13.0_lon14.0_20231029_T33PUQ_t058,35.277701,0.948366,1.373155,0.881257,0.017223,0.895017,0.961646
lat13.0_lon14.0_20231029_T33PUQ_t066,32.606714,0.951676,1.645294,1.370746,0.023424,0.923054,0.962161
lat13.0_lon14.0_20231029_T33PUQ_t070,37.331869,0.957018,1.001766,0.704615,0.013596,0.896068,0.963410
lat13.0_lon14.0_20231029_T33PUQ_t086,33.826962,0.923475,1.282267,0.865960,0.020354,0.881188,0.972404
lat13.0_lon14.0_20231029_T33PUQ_t089,35.869039,0.962107,1.361555,1.006294,0.016090,0.915481,0.966080
lat13.0_lon14.0_20231029_T33PUQ_t091,31.692120,0.933587,2.157473,1.369996,0.026025,0.887595,0.945467
lat13.0_lon14.0_20231029_T33PUQ_t114,38.709440,0.972382,1.744973,1.386426,0.011602,0.932594,0.966418
lat13.0_lon14.0_20231029_T33PUQ_t126,38.010435,0.963625,2.401749,1.747595,0.012574,0.912558,0.964064
lat13.5_lon40.7_20250330_T37PFQ_t029,34.848398,0.932918,1.059675,1.083368,0.018096,0.797038,0.929909
lat13.5_lon40.7_20250330_T37PFQ_t033,27.207198,0.693760,1.353632,1.401364,0.043615,0.573913,0.765127
lat13.5_lon40.7_20250330_T37PFQ_t072,32.013190,0.836985,0.709362,0.715564,0.025081,0.716575,0.913407
lat13.5_lon40.7_20250330_T37PFQ_t102,28.687485,0.689606,1.530766,1.589834,0.036781,0.502881,0.775573
lat13.5_lon40.7_20250330_T37PFQ_t103,32.822428,0.866932,0.903516,0.904964,0.022850,0.747394,0.880883
lat13.5_lon40.7_20250330_T37PFQ_t132,33.617433,0.942434,1.214731,0.848387,0.020851,0.914385,0.982098
lat13.5_lon40.7_20250330_T37PFQ_t134,33.379220,0.913478,0.857711,0.758088,0.021431,0.860368,0.955849
lat13.5_lon40.7_20250330_T37PFQ_t135,31.721622,0.886375,0.900664,1.203720,0.025937,0.807484,0.907438
lat13.5_lon40.7_20250330_T37PFQ_t212,36.853048,0.939211,0.525518,0.492081,0.014366,0.879052,0.973335
lat14.5_lon33.5_20251024_T36PWB_t069,36.007157,0.952109,1.482143,0.812713,0.015836,0.920695,0.953544
lat14.5_lon33.5_20251024_T36PWB_t085,33.344252,0.915692,1.953236,1.103281,0.021517,0.858554,0.915396
lat14.5_lon33.5_20251024_T36PWB_t097,35.969245,0.955198,1.556449,0.928245,0.015905,0.925630,0.969793
lat17.0_lon95.5_20251224_T46QGD_t163,30.793355,0.897918,3.380086,1.656976,0.028862,0.846417,0.952626
lat17.0_lon95.5_20251224_T46QGD_t200,30.659308,0.893648,4.108790,2.297354,0.029311,0.844829,0.951853
lat17.0_lon95.5_20251224_T46QGD_t278,28.634788,0.868127,5.102651,3.745481,0.037005,0.782726,0.850944
lat18.0_lon33.0_20231202_T36QWF_t104,39.838611,0.970054,0.383471,0.301616,0.010188,0.907524,0.977416
lat18.0_lon33.0_20231202_T36QWF_t106,37.565497,0.954388,0.472403,0.361524,0.013235,0.882001,0.975835
lat19.4_lon-99.1_20260221_T14QMG_t039,36.244386,0.919591,1.243209,1.167521,0.015409,0.839517,0.924590
lat19.4_lon-99.1_20260221_T14QMG_t045,40.410252,0.954997,1.489408,1.629780,0.009539,0.866312,0.922283
lat19.4_lon-99.1_20260221_T14QMG_t071,33.430445,0.872768,2.304233,1.765130,0.021305,0.751369,0.891584
lat21.0_lon17.5_20231203_T33QYD_t072,34.319853,0.928714,0.750745,0.816285,0.019231,0.867803,0.976038
lat21.0_lon17.5_20231203_T33QYD_t169,24.402655,0.663731,2.299459,2.840881,0.060238,0.554193,0.766684
lat22.5_lon78.0_20250129_T43QHE_t056,28.091349,0.796293,1.658423,2.143922,0.039394,0.636919,0.785015
lat22.5_lon78.0_20250129_T43QHE_t057,33.757753,0.858069,1.483606,2.071668,0.020517,0.552041,0.723266
lat22.5_lon78.0_20250129_T43QHE_t082,19.199752,0.533601,5.668957,5.252936,0.109651,0.422505,0.550208
lat22.5_lon78.0_20250129_T43QHE_t118,31.962734,0.893079,2.340015,1.987401,0.025227,0.832532,0.913840
lat23.0_lon88.0_20231227_T45QXF_t036,31.867386,0.886375,3.522223,2.484637,0.025505,0.811917,0.923090
lat23.0_lon88.0_20231227_T45QXF_t046,31.496383,0.878291,4.028989,2.653048,0.026618,0.813868,0.922878
lat23.0_lon88.0_20231227_T45QXF_t068,32.401608,0.888885,3.112519,2.595197,0.023984,0.822298,0.928845
lat23.0_lon88.0_20231227_T45QXF_t075,33.136282,0.911925,2.069311,1.218970,0.022039,0.832368,0.897683
lat23.0_lon88.0_20231227_T45QXF_t101,35.072464,0.910534,2.499474,1.317437,0.017635,0.812604,0.896202
lat23.0_lon88.0_20231227_T45QXF_t110,30.825186,0.855343,3.174327,2.001108,0.028757,0.778372,0.884375
lat23.5_lon58.5_20231226_T40QFL_t021,30.763490,0.851194,2.314139,2.855690,0.028962,0.762521,0.816224
lat23.5_lon58.5_20231226_T40QFL_t129,24.727898,0.647468,2.128095,3.917759,0.058024,0.538369,0.710701
lat23.5_lon58.5_20231226_T40QFL_t173,27.746468,0.739964,2.054924,2.444700,0.040990,0.649172,0.744339
lat23.5_lon58.5_20231226_T40QFL_t182,27.776874,0.720553,1.982644,2.782202,0.040847,0.616590,0.815651
lat23.5_lon69.5_20231003_T42QWL_t009,35.183978,0.947070,1.219042,0.734387,0.017410,0.922461,0.951361
lat23.5_lon69.5_20231003_T42QWL_t019,34.922535,0.944412,1.383381,0.961783,0.017942,0.921665,0.962596
lat26.0_lon-99.5_20230627_T14RMP_t013,28.608185,0.708562,1.555822,2.173966,0.037119,0.448951,0.583810
lat26.0_lon-99.5_20230627_T14RMP_t028,41.976439,0.973226,1.146314,0.929430,0.007965,0.944894,0.977115
lat26.5_lon71.0_20250131_T42RYQ_t013,34.369558,0.918700,0.807599,0.564520,0.019122,0.805462,0.870772
lat26.5_lon71.0_20250131_T42RYQ_t025,35.353316,0.906575,1.315720,0.920046,0.017074,0.760827,0.842320
lat26.5_lon71.0_20250131_T42RYQ_t050,31.581836,0.906192,2.241086,1.268001,0.026358,0.838223,0.940278
lat26.5_lon71.0_20250131_T42RYQ_t056,31.563362,0.843326,1.149014,0.900258,0.026414,0.737812,0.854345
lat26.5_lon71.0_20250131_T42RYQ_t059,32.596598,0.909600,1.521142,0.887240,0.023451,0.849866,0.928101
lat26.5_lon71.0_20250131_T42RYQ_t067,31.060693,0.843262,1.023117,0.864018,0.027988,0.744590,0.860951
