scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat32.0_lon35.8_20240803_T37SBR_t057,31.319747,0.846766,0.679294,1.093151,0.027165,0.797697,0.864214
lat32.0_lon35.8_20240803_T37SBR_t095,34.382228,0.914177,0.787359,0.747293,0.019094,0.864867,0.944309
lat32.0_lon35.8_20240803_T37SBR_t130,32.482160,0.840411,0.877012,1.069703,0.023762,0.747403,0.928438
lat32.0_lon35.8_20240803_T37SBR_t131,35.552127,0.911558,0.650756,0.705096,0.016688,0.823288,0.950852
lat32.0_lon35.8_20240803_T37SBR_t133,36.126214,0.923346,0.782489,0.845711,0.015620,0.858180,0.952629
lat32.0_lon58.5_20231204_T40SFA_t062,24.397267,0.596987,1.166940,2.599587,0.060275,0.411294,0.615100
lat32.0_lon58.5_20231204_T40SFA_t155,35.774662,0.932717,0.570544,0.719290,0.016265,0.841069,0.961004
lat32.0_lon58.5_20231204_T40SFA_t191,34.781609,0.945806,0.285405,0.725583,0.018236,0.617539,0.921132
lat32.5_lon-106.5_20231204_T13SCR_t109,35.032852,0.910247,0.456308,0.614345,0.017716,0.838989,0.961054
lat32.5_lon44.5_20250801_T38SMB_t102,35.776161,0.930190,1.455994,1.001485,0.016263,0.867877,0.948679
lat32.5_lon44.5_20250801_T38SMB_t155,38.133528,0.936251,0.602866,0.377088,0.012397,0.846940,0.940359
lat33.0_lon-115.5_20260130_T11SPS_t080,24.454964,0.536945,1.506450,3.221265,0.059876,0.382794,0.612994
lat33.0_lon-115.5_20260130_T11SPS_t081,29.202442,0.712870,1.497394,2.988700,0.034664,0.512508,0.678873
lat33.0_lon-115.5_20260130_T11SPS_t127,34.651190,0.879504,0.464669,0.565819,0.018511,0.789453,0.905347
lat33.0_lon-115.5_20260130_T11SPS_t147,27.853684,0.668340,0.498531,1.420650,0.040487,0.521679,0.847748
lat33.0_lon-115.5_20260130_T11SPS_t245,31.254141,0.843825,2.869719,2.121697,0.027371,0.769823,0.911999
lat33.0_lon-4.5_20231025_T30SUB_t091,25.982210,0.727097,1.102414,2.227321,0.050221,0.635837,0.886506
