scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat-33.5_lon19.5_20250123_T34HCJ_t148,27.722833,0.702950,1.241259,1.647791,0.041102,0.442775,0.918875
lat-33.5_lon19.5_20250123_T34HCJ_t199,27.793374,0.585294,1.012496,1.301734,0.040769,0.294741,0.814760
lat-33.5_lon19.5_20250123_T34HCJ_t201,26.769469,0.666556,1.230223,1.974410,0.045870,0.407127,0.867777
lat-33.5_lon19.5_20250123_T34HCJ_t210,25.284115,0.588862,3.598850,2.947805,0.054424,0.277482,0.751359
lat-33.5_lon19.5_20250123_T34HCJ_t214,27.294419,0.616488,1.754748,1.821911,0.043180,0.354743,0.856839
lat-37.0_lon149.0_20250104_T55HFU_t127,26.735463,0.635975,3.330069,3.351781,0.046050,0.328509,0.888665
lat-40.0_lon-72.0_20260305_T18GYA_t173,31.577455,0.777333,4.408830,5.234024,0.026371,0.462782,0.890106
lat-40.0_lon-72.0_20260305_T18GYA_t222,31.432181,0.786922,1.578347,3.654621,0.026816,0.258987,0.808131
lat-40.0_lon-72.0_20260305_T18GYA_t239,34.001149,0.859241,1.631491,3.200137,0.019950,0.280455,0.834913
lat-40.0_lon-72.0_20260305_T18GYA_t297,32.532899,0.810351,3.748427,4.894665,0.023624,0.401133,0.826306
lat-47.0_lon-69.0_20260106_T19GDJ_t089,40.349282,0.941120,0.442750,0.273797,0.009606,0.256256,0.837058
lat-47.0_lon-69.0_20260106_T19GDJ_t132,36.675546,0.886587,0.491849,0.392767,0.014663,0.323351,0.854673
lat-47.0_lon-69.0_20260106_T19GDJ_t214,27.177689,0.592458,1.090889,1.972227,0.043764,0.304936,0.763316
lat-47.0_lon-69.0_20260106_T19GDJ_t231,28.248863,0.696226,1.553207,1.682165,0.038686,0.329731,0.808724
lat-5.5_lon-37.5_20240629_T24MXV_t137,27.551997,0.640837,4.598370,2.654240,0.041918,0.345727,0.783005
lat-5.5_lon-37.5_20240629_T24MXV_t150,28.296343,0.770423,2.979834,4.042586,0.038475,0.371966,0.794879
lat-5.5_lon-37.5_20240629_T24MXV_t181,30.531677,0.790127,3.279701,3.504038,0.029745,0.326585,0.713786
lat-5.5_lon-37.5_20240629_T24MXV_t211,29.530843,0.796657,3.106582,3.242445,0.033378,0.317269,0.843376
lat-5.5_lon-37.5_20240629_T24MXV_t212,28.713984,0.762431,3.644110,4.359115,0.036669,0.294495,0.761596
lat-5.5_lon-37.5_20240629_T24MXV_t218,30.967610,0.768471,2.302700,2.627848,0.028289,0.301665,0.819976
lat-5.5_lon-37.5_20240629_T24MXV_t226,28.000895,0.775742,3.038577,4.063244,0.039807,0.357696,0.788913
lat-5.5_lon-37.5_20240629_T24MXV_t295,29.259914,0.738131,2.807754,2.713310,0.034435,0.320828,0.827744
lat-50.0_lon-71.0_20240120_T19FCE_t105,31.899969,0.768190,0.968862,1.006699,0.025410,0.301021,0.810718
lat-50.0_lon-71.0_20240120_T19FCE_t251,33.796720,0.825875,0.575316,0.754108,0.020425,0.381810,0.864008
lat13.0_lon14.0_20231029_T33PUQ_t033,21.057869,0.571418,5.148735,4.202825,0.088533,0.454516,0.815257
lat13.0_lon14.0_20231029_T33PUQ_t052,23.430961,0.579142,4.880480,3.596153,0.067368,0.408617,0.836573
lat13.0_lon14.0_20231029_T33PUQ_t053,21.551439,0.515537,6.213694,4.581572,0.083643,0.376610,0.813944
lat13.0_lon14.0_20231029_T33PUQ_t054,22.841026,0.510810,4.354680,4.071940,0.072102,0.251926,0.728578
lat13.0_lon14.0_20231029_T33PUQ_t058,26.664465,0.651576,3.324018,2.075064,0.046428,0.239656,0.805747
lat13.0_lon14.0_20231029_T33PUQ_t066,24.315728,0.571975,4.116048,3.306130,0.060843,0.299698,0.761603
lat13.0_lon14.0_20231029_T33PUQ_t070,30.306378,0.733652,2.251038,1.563285,0.030527,0.305850,0.810643
lat13.0_lon14.0_20231029_T33PUQ_t086,26.878682,0.611591,2.233964,1.828544,0.045297,0.352449,0.888708
lat13.0_lon14.0_20231029_T33PUQ_t089,25.085111,0.552404,2.946074,2.874580,0.055686,0.226373,0.746849
lat13.0_lon14.0_20231029_T33PUQ_t091,23.937191,0.581802,3.734924,2.969271,0.063554,0.333887,0.781452
